County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,FMNP,Operating Months,Latitude,Longitude,FCC Issued,EBT/SNAP,FCC Accepted,Location Points
Albany,Veggie Mobile-Whitney Young Health Ctr,920 Lark Drive Albany,920 Lark Drive,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 11am-12pm,Year-round,Y,YR,42.66215,-73.74859,Y,Y,Y,"(42.66215, -73.74859)"
Albany,Voorheesville Farmers' Market,"First United Methodist Church lot, 68 Maple Ave.",68 Maple Ave,Voorheesville,NY,12186,Dianne Luci,5187654536,https://www.facebook.com/VoorheesvilleFarmersMarket,Wed  3:30pm-6:30pm,June 15-September 28,Y,M,42.64892,-73.92991,N,N,Y,"(42.64892, -73.92991)"
Allegany,Alfred Farmers' Market,Village Band Stand Main St.,Main Street and Saxon Drive,Alfred,NY,14802,Holly Harris,6073820885,http://www.alfredfarmersmarket.com,Sunday  11am-3pm,July-October,Y,M,42.25396,-77.7904,N,Y,Y,"(42.25396, -77.7904)"
Allegany,Angelica Farmers' Market,Park Circle,28 Park Circle,Angelica,NY,14709,Staci Curry,5854663787,,Saturday  9am-1pm,June 1-September 24,Y,M,42.3066,-78.01619,N,N,Y,"(42.3066, -78.01619)"
Allegany,Belmont Farmers' Market,"Grange Hall Lawn, 32 Willets Ave Rt 19",32 Willets Ave,Belmont,NY,14813,Phyllis Couture,7169423710,,Thursday  11am-5pm,May 26-October 27,Y,P/M,42.22613,-78.03994,N,Y,Y,"(42.22613, -78.03994)"
Allegany,Houghton Farmers' Market,Houghton College Route 19,1 Willard Ave,Houghton,NY,14744,Stephen Demarte,7165605594,,Friday  1pm-6pm,June 3-October 28,Y,M,42.42556,-78.15706,N,N,Y,"(42.42556, -78.15706)"
Allegany,On the River Farm Stand,"7579 Route 19 , Belfast",7579 Route 19,Belfast,NY,14711,Stephen Demarte,7165605594,,"Friday  3pm-7pm, Saturday  12pm-7pm",Year-round,Y,YR,42.34485,-78.11563,N,N,Y,"(42.34485, -78.11563)"
Allegany,Wellsville Farmers' Market,Giant Food Mart 44 Park Ave.,44 Park Ave.,Wellsville,NY,14895,Daniel Sprung,5856106181,,Thursday  11am-5pm,June 16-October 6,Y,M,42.120079,-77.947159,N,N,Y,"(42.120079, -77.947159)"
Bronx,Bissel Gardens Farmers' Market,Baychester Ave. & E 241 St.,Baychester Ave and East 241st St,Bronx,NY,10470,Heather Warren-Dombrowa,3474272547,http://www.bisselgardens.org,Sat/Wed  9am-5pm,July 9-November 19,Y,M,40.90151,-73.84702,N,Y,Y,"(40.90151, -73.84702)"
Bronx,Bronx Borough Hall Greenmarket,Grand Concourse btwn 161st & 163rd Sts.,901 Grand Concourse,Bronx,NY,10452,Chelsea Whittaker,2127887476,http://www.grownyc.org/greenmarket,Tuesday  8am-4pm,June 7-November 22,Y,M,40.82715,-73.92276,N,Y,Y,"(40.82715, -73.92276)"
Bronx,Harvest Home Bronx Museum Farmers' Market,"Grand Concourse & E. 165th St., at Bronx Museum of the Arts",1040 Grand Concourse,Bronx,NY,10456,Maritza Owens,2128283361,http://www.harvesthomefm.org,Sunday  8am-4pm,July 10-November 20,N,M,40.83113,-73.9201,N,Y,Y,"(40.83113, -73.9201)"
Bronx,Harvest Home Co-op City Farmers' Market,Ash Loop & Aldrich St.,199 Aldrich St.,Bronx,NY,10475,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,July 6-November 23,Y,M,40.87025,-73.83097,N,Y,Y,"(40.87025, -73.83097)"
Bronx,Harvest Home Hunts Point Farmers' Market,"Monsignor Del Valle Square, btwn Southern & Bruckner Blvds.",925 Hunts Point Ave.,Bronx,NY,10474,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,June 15-November 23,Y,M,40.82073,-73.89088,N,Y,Y,"(40.82073, -73.89088)"
Bronx,Harvest Home Jacobi  Hospital Farmers' Market,1400 Pelham Parkway,1400 Pelham Pkwy,Bronx,NY,10461,Maritza Owens,2128283361,http://www.harvesthomefm.org,Tue/Fri  8am-4pm,May 10-November 22,Y,P/M,40.85431,-73.8467,N,Y,Y,"(40.85431, -73.8467)"
Bronx,Harvest Home Mt. Eden Farmers' Market,Claremont Park Mt. Eden & Morris Aves.,Mt Eden Pkwy and Morris Ave,Bronx,NY,10457,Maritza Owens,2128283361,http://www.harvesthomefm.org,Tue/Thu  8am-4pm,May 24-November 23,Y,P/M,40.84305,-73.90947,N,Y,Y,"(40.84305, -73.90947)"
Clinton,Rehoboth Homestead Farm Stand,3071 Route 9 Peru,3071 Route 9,Peru,NY,12972,Beth Spaugh,5186437822,http://www.rhomestead.com,Tuesday  3pm-6pm,June 1-October 30,Y,M,44.56491,-73.44945,N,N,Y,"(44.56491, -73.44945)"
Bronx,Harvest Home N Central Bronx Farmers' Market,Mosholu Parkway North & Jerome Ave.,Jerome Ave and East Mosholu Pkwy North,Bronx,NY,10467,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,July 6-November 23,Y,M,40.88046,-73.88385,N,Y,Y,"(40.88046, -73.88385)"
Bronx,Harvest Home Soundview Farmers' Market,Morrison Ave. btwn Westchester Ave. & Harrod Pl.,Morrison Ave and Harrod Place,Bronx,NY,10472,Maritza Owens,2128283361,http://www.harvesthomefm.org,Saturday  8am-4pm,June 18-November 19,Y,M,40.82905,-73.87443,N,Y,Y,"(40.82905, -73.87443)"
Bronx,Harvest Home St. Marys Park Farmers' Market,149th St. btwn St. Ann & Jackson Aves.,646 E 149th St,Bronx,NY,10455,Maritza Owens,2128283361,http://www.harvesthomefm.org,Thursday  8am-4pm,July 7-November 17,Y,M,40.81099,-73.91173,N,Y,Y,"(40.81099, -73.91173)"
Bronx,Healthy Choice Farmers' Market,1434 Longfellow Ave. Bronx,1434 Longfellow Ave.,Bronx,NY,10459,Sandy Helms,7185893060,,Thursday  10am-1:30pm,April 7-November 17,Y,P/M,40.830746,-73.886882,N,N,Y,"(40.830746, -73.886882)"
Bronx,La Familia Verde Farmers' Market,"Tremont Park on Tremont Ave., btwn LaFontaine & Arthur Aves.",East Tremont Ave and Arthur Ave,Bronx,NY,10457,Heidi Hynes,7185831765,http://www.lafamiliaverde.org,Tuesday  8am-3pm,July 12-November 15,Y,M,40.84643,-73.89334,N,Y,Y,"(40.84643, -73.89334)"
Bronx,"Learn it, Grow it, Eat it Youthmarket",169th St. & Boston Rd. at McKinley Square,E. 169th St. and Boston Rd.,Bronx,NY,10456,Kori Petrovic,2127887476,http://www.grownyc.org/youthmarket,Wednesday  10am-3pm,July 6-November 23,Y,M,40.83121,-73.90022,N,Y,Y,"(40.83121, -73.90022)"
Bronx,Lincoln Hospital Greenmarket,149th St btwn Park and Morris Aves Bronx,East 149th St and Morris Ave,Bronx,NY,10451,Chelsea Whittaker,2127887476,http://www.grownyc.org/greenmarket,Fri/Tue  8am-3pm,June 24-November 22,Y,M,40.81739,-73.92274,N,Y,Y,"(40.81739, -73.92274)"
Bronx,Mott Haven Farmers' Market,"Padre Plaza Community Garden, 139th St. & St. Ann's Ave.",E. 139th & 283 St. Saint Anns Ave,Bronx,NY,10454,Sheila Young,7189241143,,Tuesday  10am-4pm,July 12-November 15,Y,M,40.80782,-73.91697,N,Y,Y,"(40.80782, -73.91697)"
Bronx,New York Botanical Garden Greenmarket,"Mosholu Gate on Southern Blvd., Mosholu Pkwy & Bedford Park Blvd.",2855 Southern Blvd,Bronx,NY,10458,Chelsea Whittaker,2127887476,http://www.grownyc.org/greenmarket,Wednesday  9am-3pm,June 22-October 26,Y,M,40.866408,-73.882303,N,Y,Y,"(40.866408, -73.882303)"
Bronx,Norwood Youthmarket,E Gun Hill Rd. & Dekalb Ave.,Dekalb Ave. and East Gun Hill Rd.,Bronx,NY,10467,Kori Petrovic,2127887476,http://www.grownyc.org/youthmarket,Thursday  12pm-7pm,July 7-November 17,Y,M,40.88223,-73.88048,N,Y,Y,"(40.88223, -73.88048)"
Bronx,Parkchester Greenmarket,Westchester Ave. & White Plains Rd.,Westchester Ave and White Plains Rd,Bronx,NY,10472,Chelsea Whittaker,2127887476,http://www.grownyc.org/greenmarket,Friday  8am-4pm,June 10-November 18,Y,M,40.83301,-73.86277,N,Y,Y,"(40.83301, -73.86277)"
Bronx,Poe Park Greenmarket,E 192nd St. btwn Grand Concourse & Valentine Ave.,200 E. 192nd St,Bronx,NY,10458,Chelsea Whittaker,2127887476,http://www.grownyc.org/greenmarket,Tuesday  8am-3pm,June 28-November 22,Y,M,40.86412,-73.8955,N,Y,Y,"(40.86412, -73.8955)"
Bronx,Project EATS Montefiore WFC Farm Stand,3011 Boston Rd.,3011 Boston Rd.,BRONX,NY,10469,Matt Linder,2126121528,http://www.projecteats.org,Wednesday  2pm-6pm,May 31-November 30,Y,P/M,40.8697,-73.85733,N,N,Y,"(40.8697, -73.85733)"
Bronx,PS 721X Farm Stand,2697 Westchester Ave.,2697 Westchester Av.,Bronx,NY,10461,Jeremy Kottkamp,9172672119,,Thursday  9:30am-1pm,May 12-October 27,Y,P/M,40.84248,-73.83865,N,N,Y,"(40.84248, -73.83865)"
Bronx,Riverdale Neighborhood House Youthmarket,"420 W 256th St. , Corner of Mosholu Ave.",W 256th St. and Mosholu Ave.,Bronx,NY,10466,Kori Petrovic,2127887476,http://www.grownyc.org/youthmarket,Thursday  1pm-7pm,July 7-October 27,Y,M,40.90388,-73.90313,N,Y,Y,"(40.90388, -73.90313)"
Bronx,Riverdale Y Sunday Farmers' Market,Independence Ave. W. 237th St.,649 W 237th St,Bronx,NY,10463,Doris Kaufman,7185488200,http://www.riverdaley.org,Sunday  9am-2pm,May-November,N,P/M,40.888442,-73.912784,N,N,Y,"(40.888442, -73.912784)"
Bronx,South Bronx Farmers' Market,"138th St btwn Willis & Alexander Aves. , Mott Haven",330-398 East 138th Street,Bronx,NY,10454,Lily Kesselman,5164186355,http://www.southbronxfarmersmarket.com,Saturday  10am-4pm,June 18-November 19,Y,M,40.80913,-73.92297,N,Y,Y,"(40.80913, -73.92297)"
Bronx,Taqwa Community Farmers' Market,90 West Ogden Ave. & 164th st,90 West Ogden Ave. at 164th St.,Bronx,NY,10452,Bobby Watson,9178052866,,Saturday  9am-4pm,July 9-November 12,N,M,40.82957,-73.92104,N,N,Y,"(40.82957, -73.92104)"
Bronx,Wholesale Greenmarket,Halleck St. & Viele Ave. Auxiliary Lot,Halleck Street and Viele Avenue,Bronx,NY,10474,Chelsea Whittaker,2127887476,,Tue-Sat  2am-8am,April 8-December 31,Y,P/M/X/W,40.80752,-73.87989,N,N,Y,"(40.80752, -73.87989)"
Broome,Broome County Regional Saturday Farmers' Market,840 Upper Front St. Binghamton,840 Upper Front St.,Binghamton,NY,13905,Dina Truncali,6075845010,http://www.bcregionalmkt.com,Saturday  9am-1pm,Year-round,Y,YR,42.12921,-75.90609,Y,Y,Y,"(42.12921, -75.90609)"
Broome,Broome County Regional Tuesday Farmers' Market,840 Upper Front St. Binghamton,840 Upper Front St.,Binghamton,NY,13905,Dina Truncali,6075845010,http://www.bcregionalmkt.com,Tuesday  4pm-7pm,July 19-October 25,N,M,42.12921,-75.90609,N,N,Y,"(42.12921, -75.90609)"
Broome,CHOWbus Mobile Market,"Contact market for locations and times, (607)-724-9130 ext 331",3 Otsiningo Street,Binghamton,NY,13903,Michael Leahey,6077249130,http://www.broomecouncil.net,Mon-Fri,Year-round,Y,YR,42.09963,-75.89718,Y,Y,Y,"(42.09963, -75.89718)"
Broome,Deposit Farmers' Market,"First United Methodist Church WIC Clinic , 107 Second St.",107 Second St,Deposit,NY,13754,Jeanne Darling,6078656531,http://www.ccedelaware.org,Thursday  10am-2pm,Only Aug 18 & Sep 15,Y,M,42.06166,-75.42605,N,N,Y,"(42.06166, -75.42605)"
Broome,Downtown Binghamton Farmers' Market,Court House Square 80 Collier St.,80 Collier St,Binghamton,NY,13901,Eric Denk,6072069471,http://www.binghamtonfarmersmarket.com,Tue/Fri  9am-2pm,June 10-October 28,Y,M,42.09836,-75.91157,Y,Y,Y,"(42.09836, -75.91157)"
Broome,Endicott Visitor Center Farmers' Market,300 Lincoln Ave. Endicott,300 Lincoln Ave.,Endicott,NY,13760,Monica Jordan,6077575355,http://www.endicottny.com,Thursday  4:30pm-7pm,June 2-October 13,Y,M,42.09805,-76.05142,N,N,Y,"(42.09805, -76.05142)"
Broome,Koo Koose Farmers' Market,Village Memorial Park Front St. Deposit,149 Front Street,Deposit,NY,13754,Dorothy Crantz,6074672956,,Saturday  9am-1pm,June-September,Y,M,42.061003,-75.425572,N,N,Y,"(42.061003, -75.425572)"
Broome,Vestal Farmers' Market,"Library parking lot, near museum, 320 Vestal Pkwy E (Rt. 434)",320 Vestal Pkwy E,Vestal,NY,13850,Emil Bielicici,6077481514,https://www.facebook.com/VestalFarmersMarket,Sat/Wed  9am-1pm,May 28-November 23,Y,P/M,42.087322,-76.045678,N,N,Y,"(42.087322, -76.045678)"
Cattaraugus,Canaseraga Farmers' Market,"Firemans Memorial Park, Main Street across from school",4-8 Main Street,Canaseraga,NY,14822,Sue Paine,6075458311,,Saturday 9am-2pm,June-October,N,M,42.46131,-77.77724,N,N,Y,"(42.46131, -77.77724)"
Cattaraugus,Canticle Farm Stand,"3809 Old State Road, Allegany",3809 Old State Road,Allegany,NY,14706,Mark Printz,7163789714,http://www.canticlefarm.org,"Tue only Dec-June 14, Tue & Fri  June- Nov. 2pm-6pm","year round, December-May  Tue  2pm-6pm",Y,yr,42.094426,-78.506766,N,Y,Y,"(42.094426, -78.506766)"
Cattaraugus,Childs Blueberries Farm Stand,3172 Cooper Hill Road  Hinsdale,3172 Cooper Hill Road,Hinsdale,NY,14743,Dan Childs,7165572334,http://www.childsblueberries.com,Mon-Fri  9am-7pm,Year-round,N,YR,42.229,-78.47579,N,N,Y,"(42.229, -78.47579)"
Cattaraugus,Franklinville Farmers' Market,13 Park Square Rt 16,13 Park Sq,Franklinville,NY,14737,Phyllis Couture,7169423710,,Wednesday  3pm-6pm,June 15-October 26,Y,M,42.33772,-78.45771,N,Y,Y,"(42.33772, -78.45771)"
Cattaraugus,Miller's Farm Market,1685 Olean Portville Rd. Olean,1685 Olean Portville Rd.,Olean,NY,14760,Keith Miller,7163722521,,"Mon-Sat  9am-6pm, Sunday  9am-5pm",April 14-December 24,Y,P/M/X,42.071439,-78.39814,N,N,Y,"(42.071439, -78.39814)"
Cattaraugus,Olean Southern Tier Farmers' Market,Tractor Supply Store 1900 Constitution Ave.,1900 Constitution Ave,Olean,NY,14760,Phyllis Couture,7169423710,,Friday  2pm-6pm,May 20-October 28,Y,P/M,42.08294,-78.45503,N,Y,Y,"(42.08294, -78.45503)"
Cattaraugus,R.E.A.P. Olean Farmers' Market,Olean Mall  400 N. Union St.,400 N. Union St.,Olean,NY,14760,Mark Schindlbeck,7166769181,https://www.facebook.com/olean.farmers.market/,Saturday  8am-1pm,May 14-October 29,Y,P/M,42.08329,-78.42987,N,Y,Y,"(42.08329, -78.42987)"
Cattaraugus,Salamanca Farmers' Market,12 Park Ave. Jefferson Park,12 Park Ave,Salamanca,NY,14779,Phyllis Couture,7169423710,,Tuesday  11am-5pm,May 24-October 25,Y,P/M,42.15497,-78.71739,N,Y,Y,"(42.15497, -78.71739)"
Cattaraugus,South Dayton Farmers' Market,Village Park  Rt 322 & Park St,Rt 322 and Park st.,South Dayton,NY,14138,Linda Dewey,7166729004,https://www.facebook.com/pages/South-Dayton-Farmers-Market/1662449950658252,Saturday  9am-1pm,June 18-October 15,Y,M,42.3609,-79.04925,N,N,Y,"(42.3609, -79.04925)"
Cayuga,Auburn Farmers' Market,96 State Street  Curley's Restaurant Pkg Lot,96 State Street,Auburn,NY,13021,Mark Soper,3157048609,http://www.auburnfarmerscoopmarketinc.com,Tue/Thu/Sat  7am-2pm,June 2-October 29,Y,M,42.93406,-76.56985,N,Y,Y,"(42.93406, -76.56985)"
Cayuga,Moravia Farmers' Market,Kinney Drug Store pkg lot 130 Main St.,130 Main St,Moravia,NY,13118,Barbara Flynn,3154962235,,Thursday  10am-5pm,June 9-October 27,Y,M,42.71209,-76.42079,N,N,Y,"(42.71209, -76.42079)"
Cayuga,Owen Orchards,8174 Grant Ave.  Weedsport,8174 Grant Ave.,Weedsport,NY,13166,Gordon Tripp,3152524097,http://www.owenorchard.com,"Monday-Friday  9am-6pm, Saturday  9am-5pm, Sunday  10am-4pm",August-February,N,M/X/W/P,43.01314,-76.50749,N,N,Y,"(43.01314, -76.50749)"
Cayuga,Village of Aurora Farmers' Market,"Wells College Softball Field Parking Lot, Poplar Ridge Rd. and State Route 90",State Route 90 and Poplar Ridge Road,Aurora,NY,13026,Marian Brown,3153643304,http://www.auroranyfarmersmarket.com,Saturday  9am-1pm,June 4-October 29,Y,M,42.73862,-76.70211,N,N,Y,"(42.73862, -76.70211)"
Chautauqua,Abers Acres Farm Stand,884 Route 394  Kennedy,884 Rte. 394,Kennedy,NY,14747,Sue Abers,7162672431,http://www.abersacres.com,Daily  9am-6:30pm,Year-round,Y,YR,42.14495,-79.10996,N,Y,Y,"(42.14495, -79.10996)"
Chautauqua,Anderson's Produce Farm Stand,3058 Terry Rd.  Sinclairville,3058 Terry Road,Sinclairville,NY,14782,Barb Swan,7166659440,,Daily  10am-6pm,July 25-October 15,Y,M,42.231548,-79.255691,N,N,Y,"(42.231548, -79.255691)"
Chautauqua,Downtown Jamestown Farmers' Market,Cherry St. btwn W 2nd & W 3rd Sts.,Cherry and West 2nd St,Jamestown,NY,14701,Christina King,7166642477,http://www.jamestownrenaissance.org,"Thurs  12pm-6pm, Sept/Oct 12pm-4pm",June 2-October 27,Y,M,42.09567,-79.24234,N,Y,Y,"(42.09567, -79.24234)"
Chautauqua,Dunkirk Farmers' Market,Dunkirk Senior Center 45 Cliffstar Ave,45 Cliffstar Avenue,Dunkirk,NY,14048,Nicole Waite,7163669876,http://www.dunkirktoday.com/things-to-do/community-gardens,Wednesday  9am-2pm,June 15-September 28,Y,M,42.48555,-79.32285,Y,Y,Y,"(42.48555, -79.32285)"
Chautauqua,Falconer Farmers' Market,Davis Park  W. Main & Homestead Sts.,W Main St and Homestead St,Falconer,NY,14733,DeEtte Dispenza,7166654400,,Saturday  9am-2pm,June 4-October 29,Y,M,42.11763,-79.19952,N,N,Y,"(42.11763, -79.19952)"
Chautauqua,Fredonia Farmers' Market,Village Hall Barker Commons 9-11 Church St.,11 Church St,Fredonia,NY,14063,Anneliese Bruegel,7169652716,,Saturday  9am-1pm,May 21-October 29,Y,P/M,42.44064,-79.33235,N,Y,Y,"(42.44064, -79.33235)"
