,Name,Weapon Type,Archetype,Rarity,Optimal TTK,Bodyshot TTK,Usage,Impact,Range,Stability,Handling,Reload Speed,Rounds Per Minute,Magazine,Aim Assistance,Zoom,Recoil Direction,Blast Radius,Velocity,Charge Time,Accuracy,Draw Time,Swing Speed,Efficiency,Defense,Ammo Capacity,Perk 1 Init,Perk 1 Rolls Hash,Perk 1 Rolls,Perk 1 is Intrinsic,Perk 2 Init,Perk 2 Rolls Hash,Perk 2 Rolls,Perk 2 is Intrinsic,Perk 3 Init,Perk 3 Rolls Hash,Perk 3 Rolls,Perk 3 is Intrinsic,Perk 4 Init,Perk 4 Rolls Hash,Perk 4 Rolls,Perk 4 is Intrinsic
10,Not Forgotten,Hand Cannon,Precision Frame,Legendary,1.0,1.67,3.04,80.0,47.0,61.0,42.0,59.0,150.0,10.0,79.0,14.0,95.0,,,,,,,,,,Extended Barrel,,,True,Accurized Rounds,,,True,Zen Moment,,,True,Magnificent Howl,,,True
11,CALUS Mini-Tool,Submachine Gun,MIDA Synergy,Legendary,0.67,1.13,,15.0,37.0,54.0,68.0,38.0,900.0,37.0,49.0,13.0,80.0,,,,,,,,,,Fluted Barrel,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Light Mag,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Eye of the Storm,4015665870.0,"['Eye of the Storm', 'Threat Detector', 'Dynamic Sway Reduction', 'Grave Robber', 'Moving Target', 'Slideways']",False,Underdog,2222341380.0,"['Underdog', 'Surrounded', 'Disruption Break', 'High-Impact Reserves', 'Feeding Frenzy', 'Tap the Trigger']",False
12,Last Perdition,Pulse Rifle,Adaptive Frame,Legendary,0.93,1.4,0.581,29.0,45.0,63.0,44.0,48.0,390.0,38.0,60.0,17.0,63.0,,,,,,,,,,SLO-21 Post,102176546.0,"['SRO-37 Ocular', 'SRO-41 Ocular', 'SRO-52 Ocular', 'SLO-12 Post', 'SLO-21 Post', 'SLO-10 Post', 'SPO-57 Front', 'SPO-28 Front', 'SPO-26 Front']",False,Accurized Rounds,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Rangefinder,1373642347.0,"['Outlaw', 'Rangefinder', 'Firmly Planted', 'Grave Robber', 'Under Pressure', 'Moving Target']",False,Rampage,3668356940.0,"['Rampage', 'Kill Clip', 'High-Impact Reserves', 'Full Auto Trigger System', 'Snapshot Sights', 'Headseeker', 'Zen Moment']",False
13,Play of the Game,Grenade Launcher,Adaptive Frame,Legendary,0.0,0.5,0.74,,,42.0,40.0,51.0,120.0,6.0,65.0,13.0,70.0,30.0,45.0,,,,,,,,Linear Compensator,3664361537.0,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']",False,Proximity Grenades,2407138421.0,"['Thermoplastic Grenades', 'Proximity Grenades', 'Spike Grenades', 'Alloy Casing', 'Augmented Drum', 'High-Explosive Ordnance', 'High-Velocity Rounds', 'Mini Frags', 'Sticky Grenades']",False,Threat Detector,601406006.0,"['Rangefinder', 'Field Prep', 'Auto-Loading Holster', 'Snapshot Sights', 'Threat Detector']",False,,3659078627.0,"['Genesis', 'Ambitious Assassin', 'Rampage', 'Quickdraw']",False
14,Premonition,Pulse Rifle,High-Impact Frame,Legendary,0.67,1.6,,33.0,64.0,48.0,33.0,40.0,340.0,28.0,32.0,18.0,77.0,,,,,,,,,,,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Appended Mag,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Kill Clip,1086549925.0,"['Under Pressure', 'Rangefinder', 'Firmly Planted', 'Outlaw']",False,,891979.0,"['Kill Clip', 'Headseeker', 'Demolitionist', 'Dragonfly']",False
15,Edge Transit,Grenade Launcher,Adaptive Frame,Legendary,0.0,0.5,,,,48.0,48.0,45.0,120.0,6.0,62.0,13.0,70.0,30.0,39.0,,,,,,,,Confined Launch,3664361537.0,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']",False,Sticky Grenades,2407138421.0,"['Thermoplastic Grenades', 'Proximity Grenades', 'Spike Grenades', 'Alloy Casing', 'Augmented Drum', 'High-Explosive Ordnance', 'High-Velocity Rounds', 'Mini Frags', 'Sticky Grenades']",False,Auto-Loading Holster,601406006.0,"['Rangefinder', 'Field Prep', 'Auto-Loading Holster', 'Snapshot Sights', 'Threat Detector']",False,,3659078627.0,"['Genesis', 'Ambitious Assassin', 'Rampage', 'Quickdraw']",False
16,Warden's Law,Hand Cannon,Double Fire,Legendary,1.07,1.6,,92.0,60.0,36.0,32.0,34.0,110.0,8.0,68.0,14.0,97.0,,,,,,,,,,HitMark HCS,2849697470.0,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']",False,Ricochet Rounds,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Rampage,3275278318.0,"['Kill Clip', 'Rampage', 'Hip-Fire Grip', 'Zen Moment', 'Opening Shot']",False,Zen Moment,3275278317.0,"['Moving Target', 'Outlaw', 'Rangefinder', 'Threat Detector', 'Feeding Frenzy', 'Snapshot Sights']",False
17,Main Ingredient,Fusion Rifle,Precision Frame,Legendary,0.9,0.9,,80.0,63.0,54.0,38.0,32.0,,5.0,59.0,15.0,73.0,,,740.0,,,,,,,Red Dot 2 MOA,2545119095.0,"['Cleanshot IS', 'Hitmark IS', 'Red Dot 2 MOA', 'Red Dot Micro']",False,Enhanced Battery,1760963831.0,"['Accelerated Coils', 'Enhanced Battery', 'Ionized Battery', 'Liquid Coils', 'Particle Repeater', 'Projection Fuse']",False,Rampage,3477410845.0,"['Under Pressure', 'Firmly Planted', 'Auto-Loading Holster', 'Snapshot Sights', 'Moving Target', 'Hip-Fire Grip', 'Threat Detector']",False,,3177788031.0,"['Backup Plan', 'Kill Clip', 'Rampage', 'High-Impact Reserves', 'Rangefinder', 'Quickdraw', 'Tap the Trigger']",False
18,Outlast,Pulse Rifle,Rapid-Fire Frame,Legendary,0.8,1.4,0.67,23.0,37.0,48.0,29.0,32.0,540.0,32.0,78.0,17.0,60.0,,,,,,,,,,Hammer-Forged Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Tactical Mag,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Zen Moment,1755627119.0,"['Full Auto Trigger System', 'Outlaw', 'Under Pressure', 'Feeding Frenzy', 'Rangefinder']",False,Kill Clip,1831684173.0,"['Rampage', 'Kill Clip', 'High-Impact Reserves', 'Demolitionist', 'Snapshot Sights']",False
19,Through Fire and Flood,Grenade Launcher,Adaptive Frame,Legendary,0.0,0.5,,,,47.0,51.0,45.0,120.0,6.0,69.0,13.0,77.0,30.0,36.0,,,,,,,,Confined Launch,3664361537.0,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']",False,Sticky Grenades,2407138421.0,"['Thermoplastic Grenades', 'Proximity Grenades', 'Spike Grenades', 'Alloy Casing', 'Augmented Drum', 'High-Explosive Ordnance', 'High-Velocity Rounds', 'Mini Frags', 'Sticky Grenades']",False,Auto-Loading Holster,601406006.0,"['Rangefinder', 'Field Prep', 'Auto-Loading Holster', 'Snapshot Sights', 'Threat Detector']",False,,3659078627.0,"['Genesis', 'Ambitious Assassin', 'Rampage', 'Quickdraw']",False
20,Roar of the Bear,Rocket Launcher,High-Impact Frame,Legendary,0.0,0.0,0.488,,,61.0,68.0,41.0,15.0,1.0,71.0,20.0,45.0,95.0,43.0,,,,,,,,Hard Launch,3664361537.0,"['Volatile Launch', 'Confined Launch', 'Countermass', 'Hard Launch', 'Linear Compensator', 'Quick Launch', 'Smart Drift Control']",False,High-Velocity Rounds,3744683468.0,"['Alloy Casing', 'Black Powder', 'High-Velocity Rounds', 'Implosion Rounds']",False,Snapshot Sights,3690527318.0,"['Tracking Module', 'Threat Detector', 'Snapshot Sights', 'Field Prep']",False,Auto-Loading Holster,891599139.0,"['Auto-Loading Holster', 'Quickdraw', 'Kill Clip', 'Rangefinder']",False
21,Breakneck,Auto Rifle,Precision Frame,Legendary,0.93,1.47,,29.0,68.0,50.0,43.0,51.0,450.0,34.0,44.0,16.0,80.0,,,,,,,,,,Polygonal Rifling,,,True,Extended Mag,,,True,Rampage,,,True,Onslaught,,,True
22,Waking Vigil,Hand Cannon,Lightweight Frame,Legendary,0.8,1.6,0.261,80.0,38.0,44.0,67.0,60.0,150.0,12.0,85.0,14.0,98.0,,,,,,,,,,TrueSight HCS,2849697470.0,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']",False,Armor-Piercing Rounds,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Outlaw,961433282.0,"['Opening Shot', 'Grave Robber', 'Triple Tap', 'Hip-Fire Grip', 'Zen Moment']",False,Snapshot Sights,347837144.0,"['Dragonfly', 'Outlaw', 'Auto-Loading Holster', 'Snapshot Sights', 'Slideshot']",False
23,Retold Tale,Shotgun,Precision Frame,Legendary,0.0,0.93,0.558,70.0,68.0,50.0,41.0,47.0,65.0,6.0,75.0,12.0,64.0,,,,,,,,,,Rifled Barrel,1571809010.0,"['Rifled Barrel', 'Smoothbore', 'Smallbore', 'Barrel Shroud', 'Corkscrew Rifling', 'Full Choke']",False,Extended Mag,2070940234.0,"['Assault Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Accurized Rounds', 'Light Mag']",False,Full Auto Trigger System,3921333341.0,"['Auto-Loading Holster', 'Threat Detector', 'Field Prep', 'Moving Target', 'Quickdraw']",False,,156072855.0,"['Rampage', 'Slideshot', 'Snapshot Sights', 'Full Auto Trigger System', 'Grave Robber']",False
24,Jack Queen King 3,Hand Cannon,Lightweight Frame,Legendary,0.8,1.6,0.292,80.0,45.0,42.0,73.0,63.0,150.0,13.0,91.0,14.0,100.0,,,,,,,,,,Fastdraw HCS,2849697470.0,"['Fastdraw HCS', 'SteadyHand HCS', 'TrueSight HCS', 'HitMark HCS', 'Crossfire HCS', 'Sureshot HCS']",False,Ricochet Rounds,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Pulse Monitor,1941970151.0,"['Auto-Loading Holster', 'Pulse Monitor', 'Ambitious Assassin', 'Demolitionist', 'Threat Detector', 'Subsistence']",False,,898743577.0,"['Snapshot Sights', 'Rampage', 'High-Impact Reserves', 'Dragonfly', 'Surrounded', 'Swashbuckler']",False
25,The Spiteful Fang,Combat Bow,Lightweight Frame,Legendary,1.22,1.84,,68.0,,55.0,74.0,64.0,,,76.0,18.0,50.0,,,80.0,54.0,612.0,,,,,Natural String,1785302897.0,"['Agile Bowstring', 'Tactile String', 'Elastic String', 'Flexible String', 'High Tension String', 'Natural String', 'Polymer String']",False,Fiberglass Arrow Shaft,1015359061.0,"['Carbon Arrow Shaft', 'Compact Arrow Shaft', 'Fiberglass Arrow Shaft', 'Helical Fletching', 'Natural Fletching', 'Straight Fletching']",False,Archer's Tempo,176768635.0,"['Rangefinder', ""Archer's Tempo"", 'Moving Target', 'Air Assault', 'Sneak Bow', 'Snapshot Sights']",False,Explosive Head,200595155.0,"['Explosive Head', 'Rampage', 'Threat Detector', 'Hip-Fire Grip', 'Quickdraw']",False
26,Black Scorpion-4sr,Scout Rifle,VEIST Rapid-Fire,Legendary,0.93,1.4,0.196,45.0,28.0,54.0,34.0,35.0,260.0,18.0,56.0,20.0,60.0,,,,,,,,,,Full Bore,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Tactical Mag,3964805173.0,"['Accurized Rounds', 'Drop Mag', 'Appended Mag', 'Tactical Mag', 'Extended Mag', 'Steady Rounds', 'Alloy Magazine', 'Flared Magwell']",False,Moving Target,2338289045.0,"['Hip-Fire Grip', 'Grave Robber', 'Auto-Loading Holster', 'Zen Moment', 'Moving Target', 'Triple Tap', 'High-Impact Reserves']",False,,2781979921.0,"['Rangefinder', 'Genesis', 'Opening Shot', 'Outlaw', 'Rampage', 'Dragonfly', 'Snapshot Sights']",False
27,BrayTech Werewolf,Auto Rifle,Precision Frame,Legendary,0.93,1.47,,29.0,72.0,47.0,45.0,48.0,450.0,34.0,47.0,16.0,74.0,,,,,,,,,,Hammer-Forged Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Armor-Piercing Rounds,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Zen Moment,1765257316.0,"['Dynamic Sway Reduction', 'Tap the Trigger', 'Triple Tap', 'High-Impact Reserves', 'Outlaw']",False,Multikill Clip,1707676716.0,"['Under Pressure', 'Kill Clip', 'Pulse Monitor', 'Quickdraw', 'Grave Robber']",False
28,Chattering Bone,Pulse Rifle,Lightweight Frame,Legendary,0.87,1.33,,27.0,40.0,57.0,73.0,67.0,450.0,33.0,71.0,17.0,57.0,,,,,,,,,,Corkscrew Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Light Mag,591267464.0,"['Extended Mag', 'Alloy Magazine', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']",False,Kill Clip,665684799.0,"['Full Auto Trigger System', 'Outlaw', 'Opening Shot', 'Rangefinder']",False,High-Impact Reserves,195926395.0,"['Rampage', 'High-Impact Reserves', 'Headseeker', 'Under Pressure']",False
29,Throne-Cleaver,Sword,Aggressive Frame,Legendary,0.0,0.0,,84.0,64.0,,,,,40.0,,0.0,,,,,,,10.0,55.0,55.0,58.0,Tempered Edge,4067575027.0,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']",False,Heavy Guard,,,True,Shattering Blade,2029560289.0,"['Shattering Blade', 'Relentless Strikes', 'Tireless Blade']",False,Whirlwind Blade,3454804723.0,"['Counterattack', 'En Garde', ""Assassin's Blade"", 'Whirlwind Blade']",False
30,Death's Razor,Sword,Adaptive Frame,Legendary,0.0,0.0,,62.0,55.0,,,,,60.0,,0.0,,,,,,,46.0,55.0,55.0,62.0,Honed Edge,4067575027.0,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']",False,Infinite Guard,,,True,Energy Transfer,3035920644.0,"['Energy Transfer', 'Relentless Strikes', 'Tireless Blade']",False,Whirlwind Blade,2042264248.0,"['Counterattack', 'Whirlwind Blade', ""Assassin's Blade""]",False
31,Goldtusk,Sword,Lightweight Frame,Legendary,0.0,0.0,,40.0,28.0,,,,,70.0,,0.0,,,,,,,82.0,55.0,55.0,64.0,Jagged Edge,4067575027.0,"['Hungry Edge', 'Enduring Blade', 'Honed Edge', 'Jagged Edge', 'Tempered Edge']",False,Swordmaster's Guard,,,True,Energy Transfer,562468255.0,"['En Garde', 'Relentless Strikes', 'Tireless Blade']",False,Whirlwind Blade,376891365.0,"['Whirlwind Blade', ""Assassin's Blade"", 'Surrounded']",False
32,Wendigo GL3,Grenade Launcher,Adaptive Frame,Legendary,0.0,0.5,,,,44.0,47.0,51.0,120.0,6.0,66.0,13.0,78.0,30.0,36.0,,,,,,,,Smart Drift Control,,,True,Blinding Grenades,,,True,Auto-Loading Holster,,,True,Explosive Light,,,True
33,Loaded Question,Fusion Rifle,High-Impact Frame,Legendary,1.0,1.0,,95.0,57.0,32.0,32.0,27.0,,5.0,66.0,15.0,77.0,,,860.0,,,,,,,Red Dot 2 MOA,,,True,Ionized Battery,,,True,Auto-Loading Holster,,,True,Reservoir Burst,,,True
34,Age-Old Bond,Auto Rifle,High-Impact Frame,Legendary,0.83,1.33,,33.0,84.0,26.0,44.0,41.0,360.0,32.0,61.0,16.0,79.0,,,,,,,,,,Extended Barrel,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Light Mag,591267464.0,"['Extended Mag', 'Alloy Magazine', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Light Mag']",False,Fourth Time's the Charm,2584397457.0,"['Dynamic Sway Reduction', 'Tap the Trigger', 'Triple Tap', 'Zen Moment']",False,Rampage,1998931417.0,"['Kill Clip', 'High-Impact Reserves', 'Ambitious Assassin', 'Dragonfly']",False
35,Hammerhead,Machine Gun,Adaptive Frame,Legendary,0.53,0.8,2.2,41.0,64.0,64.0,40.0,64.0,450.0,60.0,90.0,15.0,75.0,,,,,,,,,,Hammer-Forged Rifling,295878355.0,"['Arrowhead Brake', 'Chambered Compensator', 'Corkscrew Rifling', 'Extended Barrel', 'Fluted Barrel', 'Full Bore', 'Hammer-Forged Rifling', 'Polygonal Rifling', 'Smallbore']",False,Armor-Piercing Rounds,641206481.0,"['Extended Mag', 'Alloy Magazine', 'Appended Mag', 'Armor-Piercing Rounds', 'High-Caliber Rounds', 'Ricochet Rounds', 'Flared Magwell', 'Light Mag']",False,Feeding Frenzy,2742955888.0,"['Feeding Frenzy', 'Dynamic Sway Reduction', 'Tap the Trigger', 'Threat Detector', 'Quickdraw', 'Shield Disorient']",False,Rampage,107969666.0,"['Surrounded', 'Rampage', 'Ambitious Assassin', 'High-Impact Reserves', 'Genesis', 'Mulligan']",False
